learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.078125,4.528879394961728E-10,1000.0,87.6,75.17855427089005,11.428571428571438,74.6938775510204,1000.0,22408.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
2000.0,0.125,7.016286771330568E-10,2000.0,86.4,69.60758022704925,2.8571428571428594,54.36241610738255,2000.0,20512.0,16.0,11.0,11.0,2.0,0.0,0.0,1.0
3000.0,0.140625,7.927560040520297E-10,3000.0,89.3,77.97266139657444,42.47311827956992,73.96593673965938,3000.0,22544.0,22.0,14.0,14.0,3.0,0.0,0.0,1.0
4000.0,0.15625,8.945870730612013E-10,4000.0,88.2,74.68951759936509,30.17751479289943,69.82097186700767,4000.0,25192.0,22.0,14.0,14.0,3.0,0.0,0.0,1.0
5000.0,0.171875,9.65729769733217E-10,5000.0,86.9,71.0061528927449,18.125000000000014,62.99435028248587,5000.0,17600.0,24.0,15.0,15.0,2.0,0.0,0.0,1.0
6000.0,0.1875,1.0560486569172806E-9,6000.0,85.5,69.80148118528145,4.60526315789474,65.311004784689,6000.0,22344.0,28.0,17.0,17.0,2.0,0.0,0.0,1.0
7000.0,0.203125,1.1320096544093555E-9,7000.0,88.5,76.12483183577207,39.79057591623035,72.68408551068885,7000.0,18792.0,30.0,18.0,18.0,2.0,0.0,0.0,1.0
8000.0,0.21875,1.1797399363583988E-9,8000.0,84.6,69.2522711390636,9.941520467836265,70.99811676082862,8000.0,11808.0,32.0,19.0,19.0,1.0,0.0,0.0,1.0
9000.0,0.234375,1.2301865758167373E-9,9000.0,90.2,80.21481062747316,43.02325581395351,79.32489451476795,9000.0,12480.0,32.0,19.0,19.0,1.0,0.0,0.0,1.0
10000.0,0.25,1.3013616100781494E-9,10000.0,84.3,68.61004478566858,-9.790209790209797,67.6954732510288,10000.0,17608.0,36.0,21.0,21.0,2.0,0.0,0.0,1.0
11000.0,0.265625,1.4206226397719649E-9,11000.0,87.6,75.1262742769569,30.72625698324024,75.1503006012024,11000.0,29504.0,40.0,23.0,23.0,4.0,0.0,0.0,1.0
12000.0,0.28125,1.469743438065052E-9,12000.0,85.3,69.81172373003876,-6.521739130434788,67.26057906458797,12000.0,12152.0,42.0,24.0,24.0,1.0,0.0,0.0,1.0
13000.0,0.296875,1.5121056801742978E-9,13000.0,80.80000000000001,61.58755436761511,-34.26573426573422,61.13360323886641,13000.0,10480.0,46.0,26.0,26.0,1.0,0.0,0.0,1.0
14000.0,0.328125,1.879848746789826E-9,14000.0,92.5,85.00107992224561,23.469387755102066,83.90557939914164,14000.0,45488.0,55.0,33.0,33.0,3.0,0.0,0.0,1.0
15000.0,0.34375,2.0741006462938254E-9,15000.0,89.7,78.59535664707693,28.965517241379334,77.11111111111111,15000.0,48056.0,55.0,33.0,33.0,3.0,0.0,0.0,1.0
16000.0,0.359375,2.145922432343165E-9,16000.0,86.6,72.51383538659087,18.292682926829283,68.17102137767222,16000.0,17768.0,61.0,36.0,36.0,2.0,0.0,0.0,1.0
17000.0,0.375,2.186118055962854E-9,17000.0,83.3,61.637416153634106,-4.3750000000000036,53.6111111111111,17000.0,9944.0,65.0,38.0,38.0,1.0,0.0,0.0,1.0
18000.0,0.390625,2.2352711918453374E-9,18000.0,84.6,68.10273405136702,-10.79136690647483,62.80193236714976,18000.0,12160.0,65.0,38.0,38.0,1.0,0.0,0.0,1.0
19000.0,0.40625,2.3063815509279566E-9,19000.0,89.2,75.38798113078555,19.402985074626883,69.5774647887324,19000.0,17592.0,67.0,39.0,39.0,2.0,0.0,0.0,1.0
20000.0,0.421875,2.371121404899491E-9,20000.0,77.8,55.69640462353919,-79.03225806451611,56.80933852140079,20000.0,16016.0,71.0,41.0,41.0,1.0,0.0,0.0,1.0
