learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.0,0.0,1000.0,87.6,75.2237851662404,11.428571428571438,74.6938775510204,1000.0,11600.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
2000.0,0.015625,6.503089227610164E-11,2000.0,91.60000000000001,80.5249003060373,40.00000000000003,71.81208053691277,2000.0,16088.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
3000.0,0.03125,2.026273351576593E-10,3000.0,85.39999999999999,69.57610765890232,21.505376344086034,64.47688564476886,3000.0,34040.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
4000.0,0.046875,3.624720395439201E-10,4000.0,89.5,77.67629349933667,37.86982248520713,73.1457800511509,4000.0,39544.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
5000.0,0.046875,3.624720395439201E-10,5000.0,87.6,72.1778463858125,22.500000000000014,64.97175141242938,5000.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6000.0,0.0625,5.385825513965554E-10,6000.0,84.8,68.75976257419556,0.0,63.63636363636363,6000.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7000.0,0.078125,7.146930632491907E-10,7000.0,85.3,69.09609223239738,23.036649214659654,65.08313539192399,7000.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
8000.0,0.078125,7.146930632491907E-10,8000.0,77.8,55.426162031924505,-29.824561403508724,58.192090395480236,8000.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
9000.0,0.09375,8.90803575101826E-10,9000.0,89.8,79.3856103476152,40.69767441860468,78.48101265822785,9000.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
10000.0,0.109375,1.0666877238286867E-9,10000.0,84.5,69.03096903096903,-8.391608391608397,68.10699588477365,10000.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
11000.0,0.109375,1.0666877238286867E-9,11000.0,90.5,80.96528067194564,46.927374301676004,80.96192384769539,11000.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
12000.0,0.125,1.243768363363213E-9,12000.0,79.10000000000001,57.69950048979526,-51.4492753623188,53.4521158129176,12000.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
13000.0,0.140625,1.4208490028977394E-9,13000.0,79.4,58.812356293112074,-44.05594405594401,58.29959514170041,13000.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
14000.0,0.140625,1.4208490028977394E-9,14000.0,89.1,78.19843028698067,-11.22448979591838,76.60944206008584,14000.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
15000.0,0.15625,1.5979943176110585E-9,15000.0,77.2,51.31617157206062,-57.2413793103448,49.333333333333336,15000.0,43824.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
16000.0,0.171875,1.7748809316092067E-9,16000.0,66.7,25.488686810826316,-103.04878048780482,20.90261282660334,16000.0,43760.0,22.0,14.0,14.0,5.0,0.0,0.0,1.0
17000.0,0.1875,2.0257882877356476E-9,17000.0,77.7,46.645612020289015,-39.37499999999996,38.05555555555556,17000.0,62072.0,29.0,20.0,20.0,6.0,0.0,0.0,1.0
18000.0,0.1875,2.0257882877356476E-9,18000.0,80.2,59.8194717275192,-42.44604316546758,52.17391304347827,18000.0,67000.0,29.0,20.0,20.0,6.0,0.0,0.0,1.0
19000.0,0.203125,2.298717542241017E-9,19000.0,92.4,83.06104709474671,43.283582089552276,78.59154929577466,19000.0,67520.0,31.0,21.0,21.0,6.0,0.0,0.0,1.0
20000.0,0.234375,3.0323927704658775E-9,20000.0,78.2,56.48355158096455,-75.8064516129032,57.587548638132304,20000.0,90752.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
21000.0,0.25,3.3992303845783075E-9,21000.0,74.7,48.861615083600135,-38.25136612021854,43.01801801801801,21000.0,90752.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
22000.0,0.265625,3.767911241286331E-9,22000.0,81.89999999999999,55.565375362105364,3.208556149732622,33.94160583941604,22000.0,91208.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
23000.0,0.265625,3.767911241286331E-9,23000.0,74.6,45.72951075367608,-68.2119205298013,40.515222482435604,23000.0,91704.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
24000.0,0.296875,4.513033976157506E-9,24000.0,74.0,40.64143775569841,-75.67567567567566,34.34343434343434,24000.0,92168.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
25000.0,0.296875,4.513033976157506E-9,25000.0,77.9,51.18912997384976,-90.51724137931033,41.379310344827594,25000.0,93120.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
26000.0,0.3125,4.889443516731262E-9,26000.0,81.8,62.1420132128534,-30.00000000000002,58.82352941176469,26000.0,93120.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
27000.0,0.328125,5.265853057305018E-9,27000.0,84.8,67.46853865251262,-42.05607476635518,62.926829268292686,27000.0,93120.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
28000.0,0.34375,5.642262597878774E-9,28000.0,78.60000000000001,55.865368751031184,-135.1648351648352,47.804878048780495,28000.0,93120.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
29000.0,0.359375,6.01867213845253E-9,29000.0,74.8,40.376197799597776,-117.24137931034484,33.85826771653544,29000.0,93120.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
30000.0,0.375,6.395081679026286E-9,30000.0,67.9,34.01578687715838,-197.2222222222222,18.939393939393955,30000.0,93120.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
31000.0,0.390625,6.771491219600042E-9,31000.0,71.5,39.85616126145897,-91.27516778523488,24.802110817941944,31000.0,93120.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
32000.0,0.40625,7.147900760173798E-9,32000.0,70.6,37.10395817199286,-104.16666666666667,29.832935560859188,32000.0,93120.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
33000.0,0.421875,7.524310300747554E-9,33000.0,74.4,47.17401621922783,-118.80341880341882,43.73626373626373,33000.0,93120.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
34000.0,0.453125,8.306815288960934E-9,34000.0,69.5,38.31904222617698,-114.7887323943662,20.77922077922077,34000.0,96792.0,40.0,28.0,28.0,7.0,0.0,0.0,1.0
35000.0,0.46875,8.698067783067624E-9,35000.0,63.0,20.874232800838318,-203.27868852459017,12.114014251781482,35000.0,96792.0,40.0,28.0,28.0,7.0,0.0,0.0,1.0
36000.0,0.484375,9.094720654603507E-9,36000.0,64.0,30.998527968596672,-133.7662337662337,-17.647058823529388,36000.0,98128.0,40.0,28.0,28.0,7.0,0.0,0.0,1.0
37000.0,0.5,9.492505341768264E-9,37000.0,71.89999999999999,39.23693702265315,-73.45679012345677,19.94301994301993,37000.0,98408.0,42.0,29.0,29.0,8.0,0.0,0.0,1.0
38000.0,0.5,9.492505341768264E-9,38000.0,67.80000000000001,38.56720404464372,-126.76056338028164,5.014749262536878,38000.0,98448.0,42.0,29.0,29.0,8.0,0.0,0.0,1.0
39000.0,0.53125,1.0313039335111776E-8,39000.0,73.2,46.9701766605458,-104.58015267175573,42.735042735042725,39000.0,101496.0,44.0,30.0,30.0,8.0,0.0,0.0,1.0
40000.0,0.546875,1.0807836790465646E-8,40000.0,81.6,62.20399980280346,-26.027397260273993,59.64912280701753,40000.0,122408.0,51.0,36.0,36.0,8.0,0.0,0.0,1.0
41000.0,0.5625,1.1307323196281989E-8,41000.0,82.1,63.723177444328236,3.2432432432432456,61.83368869936034,41000.0,123568.0,53.0,37.0,37.0,8.0,0.0,0.0,1.0
42000.0,0.578125,1.1808588169515133E-8,42000.0,86.2,72.36949592349954,13.20754716981133,72.06477732793523,42000.0,124008.0,55.0,38.0,38.0,8.0,0.0,0.0,1.0
43000.0,0.609375,1.2817197582787938E-8,43000.0,81.0,62.20635331092237,-48.43749999999996,58.78524945770066,43000.0,124760.0,55.0,38.0,38.0,8.0,0.0,0.0,1.0
44000.0,0.625,1.3337380045817959E-8,44000.0,78.8,53.30211329964625,-15.846994535519073,42.234332425068125,44000.0,128688.0,57.0,39.0,39.0,8.0,0.0,0.0,1.0
45000.0,0.625,1.3337380045817959E-8,45000.0,81.2,61.41468540654146,-43.51145038167934,55.660377358490585,45000.0,128688.0,57.0,39.0,39.0,8.0,0.0,0.0,1.0
45312.0,0.640625,1.3857562508847979E-8,45312.0,81.6,63.185421426885036,-29.577464788732417,60.59957173447537,45312.0,128688.0,57.0,39.0,39.0,8.0,0.0,0.0,1.0
