learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.015625,1.613645710878902E-11,100.0,90.0,78.92074198988196,33.33333333333336,67.74193548387099,100.0,3992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.015625,1.613645710878902E-11,200.0,85.5,71.0752044683822,0.0,69.47368421052632,200.0,4016.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.015625,1.613645710878902E-11,300.0,83.0,65.02057613168724,-24.39024390243901,56.03448275862068,300.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.015625,1.613645710878902E-11,400.0,82.5,65.1567944250871,-34.61538461538464,60.67415730337077,400.0,528.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
500.0,0.03125,4.727755569749408E-11,500.0,83.39999999999999,66.97752880514354,-29.68750000000003,63.11111111111109,500.0,7704.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
600.0,0.03125,4.727755569749408E-11,600.0,84.83333333333334,69.73325350894699,-16.666666666666625,65.39923954372625,600.0,8048.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
700.0,0.03125,4.727755569749408E-11,700.0,86.0,72.11019319586288,-2.0833333333333584,69.75308641975309,700.0,8056.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
800.0,0.03125,4.727755569749408E-11,800.0,86.875,73.83829575183755,7.079646017699122,72.44094488188976,800.0,11240.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
900.0,0.03125,4.727755569749408E-11,900.0,86.66666666666667,73.38065661047027,9.090909090909078,72.4770642201835,900.0,11576.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1000.0,0.046875,9.416706032223172E-11,1000.0,87.6,75.2237851662404,11.428571428571438,74.6938775510204,1000.0,11600.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1100.0,0.046875,9.416706032223172E-11,1100.0,87.2,74.4285377518689,3.030303030303033,72.64957264957265,1100.0,12048.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1200.0,0.046875,9.416706032223172E-11,1200.0,88.2,76.02405721716515,9.230769230769239,72.55813953488372,1200.0,11976.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1300.0,0.046875,9.416706032223172E-11,1300.0,90.10000000000001,80.05881642025543,21.42857142857145,77.55102040816327,1300.0,15576.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1400.0,0.046875,9.416706032223172E-11,1400.0,91.9,83.16106338924139,40.44117647058827,79.64824120603015,1400.0,15576.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1500.0,0.0625,1.5712834687696563E-10,1500.0,93.2,85.36444679761183,50.72463768115946,81.47138964577658,1500.0,15576.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1600.0,0.0625,1.5712834687696563E-10,1600.0,93.30000000000001,85.52127723944784,51.44927536231888,81.4404432132964,1600.0,15576.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1700.0,0.0625,1.5712834687696563E-10,1700.0,93.2,85.1138353765324,48.48484848484853,80.57142857142858,1700.0,16024.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1800.0,0.0625,1.5712834687696563E-10,1800.0,91.8,82.00957441673725,38.80597014925377,75.95307917888564,1800.0,16056.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
1900.0,0.0625,1.5712834687696563E-10,1900.0,92.10000000000001,82.30651389050645,38.75968992248065,75.15723270440252,1900.0,16080.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
2000.0,0.0625,1.5712834687696563E-10,2000.0,91.60000000000001,80.5249003060373,40.00000000000003,71.81208053691277,2000.0,16088.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
2100.0,0.0625,1.5712834687696563E-10,2100.0,91.4,80.86541713390649,41.09589041095894,73.29192546583852,2100.0,16088.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
2200.0,0.078125,2.2215923915306726E-10,2200.0,89.4,76.17902585699325,31.16883116883119,67.58409785932722,2200.0,16088.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
2300.0,0.078125,2.2215923915306726E-10,2300.0,87.5,72.85747787341596,21.875000000000014,65.4696132596685,2300.0,15856.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2400.0,0.078125,2.2215923915306726E-10,2400.0,87.4,73.56772745390087,22.22222222222224,68.10126582278481,2400.0,15856.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2500.0,0.078125,2.2215923915306726E-10,2500.0,83.39999999999999,65.97691349117859,2.35294117647059,60.09615384615385,2500.0,16320.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2600.0,0.078125,2.2215923915306726E-10,2600.0,83.39999999999999,66.11691704768126,7.26256983240224,61.21495327102804,2600.0,16336.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2700.0,0.078125,2.2215923915306726E-10,2700.0,83.7,66.68002191350706,14.659685863874305,61.82669789227165,2700.0,16344.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
2800.0,0.09375,3.055902197957039E-10,2800.0,83.89999999999999,66.91681119157016,16.58031088082898,62.470862470862464,2800.0,20640.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
2900.0,0.09375,3.055902197957039E-10,2900.0,84.5,68.28060410101094,20.918367346938744,64.53089244851259,2900.0,27528.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
3000.0,0.09375,3.055902197957039E-10,3000.0,85.39999999999999,69.57610765890232,21.505376344086034,64.47688564476886,3000.0,34040.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
3100.0,0.109375,4.580942913889885E-10,3100.0,85.8,70.93796688565523,28.999999999999975,67.2055427251732,3100.0,37728.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
3200.0,0.109375,4.580942913889885E-10,3200.0,87.2,74.08067390247854,35.99999999999998,70.23255813953489,3200.0,38024.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
3300.0,0.109375,4.580942913889885E-10,3300.0,88.5,76.69800615983141,43.90243902439024,72.55369928400955,3300.0,38816.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
3400.0,0.125,6.167748425569799E-10,3400.0,88.4,76.62986542025949,38.947368421052616,73.0232558139535,3400.0,39256.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
3500.0,0.125,6.167748425569799E-10,3500.0,91.60000000000001,83.14153484283496,55.55555555555556,81.29175946547885,3500.0,39256.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
3600.0,0.125,6.167748425569799E-10,3600.0,91.9,83.5107119301017,53.448275862068996,80.43478260869567,3600.0,39256.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
3700.0,0.125,6.167748425569799E-10,3700.0,91.0,81.1425123202253,47.0588235294118,76.56250000000001,3700.0,39256.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
3800.0,0.140625,7.754553937249713E-10,3800.0,91.0,80.32219132077452,45.45454545454549,74.57627118644069,3800.0,39256.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
3900.0,0.140625,7.754553937249713E-10,3900.0,90.4,78.9086083636156,41.46341463414637,73.25905292479109,3900.0,39544.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
4000.0,0.140625,7.754553937249713E-10,4000.0,89.5,77.67629349933667,37.86982248520713,73.1457800511509,4000.0,39544.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
4100.0,0.140625,7.754553937249713E-10,4100.0,89.7,77.4370208105148,36.419753086419774,72.53333333333333,4100.0,39544.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
4200.0,0.15625,9.493669494986533E-10,4200.0,90.10000000000001,77.89606237329309,40.36144578313255,73.31536388140162,4200.0,43024.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
4300.0,0.15625,9.493669494986533E-10,4300.0,90.0,76.2170903988394,37.106918238993735,70.1492537313433,4300.0,43072.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
4400.0,0.15625,9.493669494986533E-10,4400.0,87.7,69.1494271324518,27.21893491124262,60.450160771704184,4400.0,43072.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
4500.0,0.15625,9.493669494986533E-10,4500.0,87.2,67.77782812492134,22.42424242424244,58.57605177993528,4500.0,43536.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
4600.0,0.15625,9.493669494986533E-10,4600.0,86.5,68.84318196504897,20.118343195266284,61.09510086455331,4600.0,43552.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
4700.0,0.15625,9.493669494986533E-10,4700.0,87.1,70.89770430262777,19.375000000000014,63.76404494382022,4700.0,43560.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
4800.0,0.15625,9.493669494986533E-10,4800.0,88.6,75.59764367422427,29.192546583850955,70.46632124352332,4800.0,43560.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
4900.0,0.15625,9.493669494986533E-10,4900.0,88.5,74.56427497124658,26.751592356687915,68.05555555555556,4900.0,43560.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
5000.0,0.15625,9.493669494986533E-10,5000.0,87.6,72.1778463858125,22.500000000000014,64.97175141242938,5000.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
5100.0,0.15625,9.493669494986533E-10,5100.0,85.2,67.95981988223069,3.8961038961038987,58.88888888888888,5100.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
5200.0,0.171875,1.1254774613512886E-9,5200.0,85.2,69.05306562841096,0.0,61.35770234986945,5200.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
5300.0,0.171875,1.1254774613512886E-9,5300.0,84.5,67.70456553264547,-0.6493506493506498,60.35805626598465,5300.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
5400.0,0.171875,1.1254774613512886E-9,5400.0,85.0,69.08542315872779,-2.0408163265306136,63.76811594202898,5400.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
5500.0,0.171875,1.1254774613512886E-9,5500.0,85.8,69.77527276752076,-2.1582733812949657,62.92428198433419,5500.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
5600.0,0.1875,1.301587973203924E-9,5600.0,85.2,68.41561634363809,-8.823529411764714,61.757105943152446,5600.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
5700.0,0.1875,1.301587973203924E-9,5700.0,84.5,67.75401514521094,-11.510791366906483,62.00980392156863,5700.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
5800.0,0.1875,1.301587973203924E-9,5800.0,84.3,67.02234918501092,-11.347517730496463,60.35353535353535,5800.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
5900.0,0.203125,1.4776984850565592E-9,5900.0,84.89999999999999,68.86829018876949,0.0,63.438256658595634,5900.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6000.0,0.203125,1.4776984850565592E-9,6000.0,84.8,68.75976257419556,0.0,63.63636363636363,6000.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6100.0,0.203125,1.4776984850565592E-9,6100.0,86.7,72.56170521781468,18.404907975460137,69.28406466512702,6100.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6200.0,0.203125,1.4776984850565592E-9,6200.0,86.4,71.98683381189159,23.595505617977544,69.1609977324263,6200.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6300.0,0.21875,1.6538089969091946E-9,6300.0,85.9,71.14558179511317,19.88636363636365,67.7345537757437,6300.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6400.0,0.21875,1.6538089969091946E-9,6400.0,85.6,70.39863175897908,21.311475409836078,66.35514018691589,6400.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6500.0,0.21875,1.6538089969091946E-9,6500.0,85.39999999999999,69.90931574608409,23.157894736842074,65.72769953051643,6500.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6600.0,0.234375,1.8299195087618299E-9,6600.0,84.89999999999999,68.2573050241749,25.615763546798004,63.170731707317074,6600.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6700.0,0.234375,1.8299195087618299E-9,6700.0,84.89999999999999,68.45623563818674,25.24752475247522,64.47058823529412,6700.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6800.0,0.234375,1.8299195087618299E-9,6800.0,85.2,68.5086282103113,25.252525252525228,63.81418092909536,6800.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6900.0,0.234375,1.8299195087618299E-9,6900.0,84.8,67.38127427627202,19.999999999999964,62.46913580246913,6900.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7000.0,0.25,2.006030020614465E-9,7000.0,85.3,69.09609223239738,23.036649214659654,65.08313539192399,7000.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7100.0,0.25,2.006030020614465E-9,7100.0,84.5,66.95518696968405,15.30054644808744,62.10268948655256,7100.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7200.0,0.25,2.006030020614465E-9,7200.0,83.2,63.21855186184187,1.176470588235295,57.36040609137055,7200.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7300.0,0.265625,2.1821405324671003E-9,7300.0,82.39999999999999,62.22900383289767,0.0,58.392434988179666,7300.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
