expanded,solved,type,elapsed_time,NoQueens
4,False,hill climbing,0.010969400405883789,8
104,False,hill climbing with sideways moves,0.21570777893066406,8
40,True,random restart hill climbing,0.08009648323059082,8
5,False,hill climbing,0.010152578353881836,8
105,False,hill climbing with sideways moves,0.22046422958374023,8
35,True,random restart hill climbing,0.0697641372680664,8
4,False,hill climbing,0.007842540740966797,8
105,False,hill climbing with sideways moves,0.2226123809814453,8
38,True,random restart hill climbing,0.07788395881652832,8
4,False,hill climbing,0.00797891616821289,8
104,False,hill climbing with sideways moves,0.23595571517944336,8
31,True,random restart hill climbing,0.06684708595275879,8
5,True,hill climbing,0.009971857070922852,8
5,True,hill climbing with sideways moves,0.010023832321166992,8
5,True,random restart hill climbing,0.0109710693359375,8
4,False,hill climbing,0.011178731918334961,8
105,False,hill climbing with sideways moves,0.22723793983459473,8
40,True,random restart hill climbing,0.08954906463623047,8
4,False,hill climbing,0.008974790573120117,8
105,False,hill climbing with sideways moves,0.22397398948669434,8
17,True,random restart hill climbing,0.03560066223144531,8
4,True,hill climbing,0.009375333786010742,8
4,True,hill climbing with sideways moves,0.0077931880950927734,8
4,True,random restart hill climbing,0.011017322540283203,8
5,False,hill climbing,0.011905193328857422,8
105,False,hill climbing with sideways moves,0.2283015251159668,8
23,True,random restart hill climbing,0.05092668533325195,8
4,True,hill climbing,0.008102893829345703,8
4,True,hill climbing with sideways moves,0.009830236434936523,8
4,True,random restart hill climbing,0.008200645446777344,8
3,False,hill climbing,0.005950212478637695,8
104,False,hill climbing with sideways moves,0.2329397201538086,8
79,True,random restart hill climbing,0.21044063568115234,8
5,False,hill climbing,0.01509857177734375,8
6,True,hill climbing with sideways moves,0.015956401824951172,8
47,True,random restart hill climbing,0.12516403198242188,8
4,False,hill climbing,0.011723756790161133,8
105,False,hill climbing with sideways moves,0.30594587326049805,8
33,True,random restart hill climbing,0.08660125732421875,8
4,False,hill climbing,0.013213396072387695,8
104,False,hill climbing with sideways moves,0.2717311382293701,8
94,True,random restart hill climbing,0.21252012252807617,8
4,False,hill climbing,0.00994110107421875,8
104,False,hill climbing with sideways moves,0.2597646713256836,8
51,True,random restart hill climbing,0.10938143730163574,8
2,False,hill climbing,0.003976583480834961,8
5,True,hill climbing with sideways moves,0.011965274810791016,8
12,True,random restart hill climbing,0.02453923225402832,8
4,False,hill climbing,0.008922338485717773,8
105,False,hill climbing with sideways moves,0.2526090145111084,8
9,True,random restart hill climbing,0.023276329040527344,8
5,False,hill climbing,0.012485265731811523,8
8,True,hill climbing with sideways moves,0.025862932205200195,8
53,True,random restart hill climbing,0.15962982177734375,8
3,False,hill climbing,0.008113384246826172,8
103,False,hill climbing with sideways moves,0.21363401412963867,8
40,True,random restart hill climbing,0.08600640296936035,8
4,False,hill climbing,0.007016897201538086,8
104,False,hill climbing with sideways moves,0.22861719131469727,8
50,True,random restart hill climbing,0.1482861042022705,8
3,True,hill climbing,0.012678146362304688,8
3,True,hill climbing with sideways moves,0.007953166961669922,8
3,True,random restart hill climbing,0.00854182243347168,8
5,False,hill climbing,0.010968446731567383,8
6,True,hill climbing with sideways moves,0.012450933456420898,8
35,True,random restart hill climbing,0.07376909255981445,8
5,False,hill climbing,0.010197162628173828,8
105,False,hill climbing with sideways moves,0.2361452579498291,8
14,True,random restart hill climbing,0.028281211853027344,8
5,False,hill climbing,0.011197090148925781,8
105,False,hill climbing with sideways moves,0.33390021324157715,8
8,True,random restart hill climbing,0.031903982162475586,8
4,False,hill climbing,0.014697551727294922,8
104,False,hill climbing with sideways moves,0.279038667678833,8
48,True,random restart hill climbing,0.10182380676269531,8
5,False,hill climbing,0.012939929962158203,8
105,False,hill climbing with sideways moves,0.24997639656066895,8
70,True,random restart hill climbing,0.16001248359680176,8
6,False,hill climbing,0.012211799621582031,8
106,False,hill climbing with sideways moves,0.23240423202514648,8
61,True,random restart hill climbing,0.1349320411682129,8
4,False,hill climbing,0.006718635559082031,8
10,True,hill climbing with sideways moves,0.023354768753051758,8
27,True,random restart hill climbing,0.05610513687133789,8
