"","# queens or Map for 4-colour","method","Average # of assignments +- std dev","Average time to solve +- std dev","Average # of backtracks +- std dev","Average # of repair assignments +- std dev","Probability of Success"
"1","10 queens",1,"91 ± 0","0.0013 ± 0.0004641","81 ± 0","NA ± NA",100
"2","10 queens",2,"73 ± 0","0.0011 ± 0.0005436","35 ± 0","NA ± NA",100
"3","10 queens",3,"50 ± 0","0.008081 ± 0.0007063","40 ± 0","NA ± NA",100
"4","10 queens",4,"224.6 ± 278.8","0.005084 ± 0.006497","214.6 ± 278.8","NA ± NA",100
"5","10 queens",5,"18.1 ± 7.286","0.004787 ± 0.002083","8.1 ± 7.286","NA ± NA",100
"6","10 queens",6,"93.7 ± 73.88","0.002894 ± 0.002704","NA ± NA","83.7 ± 73.88",100
"7","30 queens",1,"1000 ± 0","0.02733 ± 0.002203","985 ± 0","NA ± NA",0
"8","30 queens",2,"1000 ± 0","0.02364 ± 0.001276","570 ± 0","NA ± NA",0
"9","30 queens",3,"1000 ± 0","0.8031 ± 0.1328","979 ± 0","NA ± NA",0
"10","30 queens",4,"818.1 ± 248.9","0.04329 ± 0.01413","790.3 ± 250.5","NA ± NA",40
"11","30 queens",5,"49.8 ± 28.34","0.1319 ± 0.02832","19.8 ± 28.34","NA ± NA",100
"12","30 queens",6,"65.7 ± 13.37","0.003189 ± 0.0008733","NA ± NA","35.7 ± 13.37",100
"13","50 queens",1,"1000 ± 0","0.05046 ± 0.01161","966 ± 0","NA ± NA",0
"14","50 queens",2,"1000 ± 0","0.04548 ± 0.001362","568 ± 0","NA ± NA",0
"15","50 queens",3,"1000 ± 0","2.516 ± 0.2688","966 ± 0","NA ± NA",0
"16","50 queens",4,"771.8 ± 351.2","0.06164 ± 0.02816","725.3 ± 353.4","NA ± NA",40
"17","50 queens",5,"82 ± 41.55","1.163 ± 0.3519","32 ± 41.55","NA ± NA",100
"18","50 queens",6,"102.1 ± 29.64","0.007181 ± 0.003083","NA ± NA","52.1 ± 29.64",100
"19","70 queens",1,"1000 ± 0","0.05855 ± 0.006181","954 ± 0","NA ± NA",0
"20","70 queens",2,"1000 ± 0","0.07749 ± 0.002442","542 ± 0","NA ± NA",0
"21","70 queens",3,"1000 ± 0","5.772 ± 0.6804","953 ± 0","NA ± NA",0
"22","70 queens",4,"907.8 ± 167.8","0.1402 ± 0.03587","842.2 ± 170.2","NA ± NA",40
"23","70 queens",5,"446.5 ± 390.9","4.05 ± 1.114","380.6 ± 396.7","NA ± NA",70
"24","70 queens",6,"132.4 ± 19.7","0.01238 ± 0.002247","NA ± NA","62.4 ± 19.7",100
"25","90 queens",1,"1000 ± 0","0.07141 ± 0.002375","941 ± 0","NA ± NA",0
"26","90 queens",2,"1000 ± 0","0.1521 ± 0.03798","538 ± 0","NA ± NA",0
"27","90 queens",3,"1000 ± 0","12.94 ± 0.8248","942 ± 0","NA ± NA",0
"28","90 queens",4,"1000 ± 0","0.1363 ± 0.004462","919 ± 2.646","NA ± NA",0
"29","90 queens",5,"356.2 ± 320.1","10.12 ± 1.77","267.5 ± 322.8","NA ± NA",90
"30","90 queens",6,"137.4 ± 50.32","0.01566 ± 0.007152","NA ± NA","47.4 ± 50.32",100
"31","australia_map",1,"6 ± 0","9.98e-05 ± 0.0002994","0 ± 0","NA ± NA",100
"32","australia_map",2,"6 ± 0","0 ± 0","0 ± 0","NA ± NA",100
"33","australia_map",3,"6 ± 0","0.0002989 ± 0.0004566","0 ± 0","NA ± NA",100
"34","australia_map",4,"9.2 ± 5.231","0.0001994 ± 0.0003989","3.2 ± 5.231","NA ± NA",100
"35","australia_map",5,"6 ± 0","0.0003989 ± 0.0004885","0 ± 0","NA ± NA",100
"36","australia_map",6,"6 ± 0","9.973e-05 ± 0.0002992","NA ± NA","0 ± 0",100
"37","usa_csp",1,"49 ± 0","0.000798 ± 0.000399","0 ± 0","NA ± NA",100
"38","usa_csp",2,"49 ± 0","0.0006968 ± 0.0004562","0 ± 0","NA ± NA",100
"39","usa_csp",3,"49 ± 0","0.00359 ± 0.0004896","0 ± 0","NA ± NA",100
"40","usa_csp",4,"904.9 ± 285.3","0.0356 ± 0.0123","863.1 ± 287.7","NA ± NA",10
"41","usa_csp",5,"49 ± 0","0.005288 ± 0.0004599","0 ± 0","NA ± NA",100
"42","usa_csp",6,"65.4 ± 33.83","0.004092 ± 0.007868","NA ± NA","16.4 ± 33.83",100
"43","zebra",1,"1000 ± 0","0.02882 ± 0.004684","987 ± 0","NA ± NA",0
"44","zebra",2,"1000 ± 0","0.02154 ± 0.004339","650 ± 0","NA ± NA",0
"45","zebra",3,"1000 ± 0","0.09863 ± 0.01631","989 ± 0","NA ± NA",0
"46","zebra",4,"1000 ± 0","0.0801 ± 0.005095","986.9 ± 2.737","NA ± NA",0
"47","zebra",5,"45.5 ± 2.975","0.007677 ± 0.000456","20.5 ± 2.975","NA ± NA",100
"48","zebra",6,"996.7 ± 84.9","0.2547 ± 0.02309","NA ± NA","971.7 ± 84.9",10
