Date,High,Low,Daily Average,Change in average daily price,,
"Feb 05, 2020",0.281039,0.266692,0.2738655,0,,
"Feb 04, 2020",0.269576,0.24882,0.259198,-0.0146675,,
"Feb 03, 2020",0.25637,0.248154,0.252262,-0.006936,,
"Feb 02, 2020",0.259259,0.237002,0.2481305,-0.0041315,,
"Feb 01, 2020",0.242612,0.237781,0.2401965,-0.007934,,
"Jan 31, 2020",0.244273,0.234905,0.239589,-0.0006075,,
"Jan 30, 2020",0.245961,0.231997,0.238979,-0.00061,,
"Jan 29, 2020",0.241267,0.235322,0.2382945,-0.0006845,,
"Jan 28, 2020",0.239931,0.230945,0.235438,-0.0028565,,
"Jan 27, 2020",0.234634,0.226982,0.230808,-0.00463,,
"Jan 26, 2020",0.231344,0.219327,0.2253355,-0.0054725,,
"Jan 25, 2020",0.22315,0.217737,0.2204435,-0.004892,,
"Jan 24, 2020",0.226314,0.215389,0.2208515,0.000408,,
"Jan 23, 2020",0.236284,0.223069,0.2296765,0.008825,,
"Jan 22, 2020",0.238689,0.234236,0.2364625,0.006786,,
"Jan 21, 2020",0.240264,0.231539,0.2359015,-0.000561,,
"Jan 20, 2020",0.235748,0.225986,0.230867,-0.0050345,,
"Jan 19, 2020",0.249569,0.229278,0.2394235,0.0085565,,
"Jan 18, 2020",0.251187,0.233148,0.2421675,0.002744,,
"Jan 17, 2020",0.243156,0.226576,0.234866,-0.0073015,,
"Jan 16, 2020",0.233568,0.224055,0.2288115,-0.0060545,,
"Jan 15, 2020",0.240997,0.22792,0.2344585,0.005647,,
"Jan 14, 2020",0.241832,0.212379,0.2271055,-0.007353,,
"Jan 13, 2020",0.215687,0.210601,0.213144,-0.0139615,,
"Jan 12, 2020",0.216371,0.211533,0.213952,0.000808,,
"Jan 11, 2020",0.218971,0.210054,0.2145125,0.0005605,,
"Jan 10, 2020",0.212403,0.20182,0.2071115,-0.007401,,
"Jan 09, 2020",0.209142,0.202589,0.2058655,-0.001246,,
"Jan 08, 2020",0.216704,0.205214,0.210959,0.0050935,,
"Jan 07, 2020",0.223386,0.209047,0.2162165,0.0052575,,
"Jan 06, 2020",0.223832,0.195068,0.20945,-0.0067665,,
"Jan 05, 2020",0.199223,0.193884,0.1965535,-0.0128965,,
"Jan 04, 2020",0.194653,0.191835,0.193244,-0.0033095,,
"Jan 03, 2020",0.19407,0.185846,0.189958,-0.003286,,
"Jan 02, 2020",0.192896,0.186947,0.1899215,-3.65E-05,,
"Jan 01, 2020",0.194362,0.192107,0.1932345,0.003313,,
"Dec 31, 2019",0.194878,0.189969,0.1924235,-0.000811,,
"Dec 30, 2019",0.198716,0.193685,0.1962005,0.003777,,
"Dec 29, 2019",0.198972,0.192524,0.195748,-0.0004525,,
"Dec 28, 2019",0.195286,0.190974,0.19313,-0.002618,,
"Dec 27, 2019",0.192708,0.188502,0.190605,-0.002525,,
"Dec 26, 2019",0.192518,0.188141,0.1903295,-0.0002755,,
"Dec 25, 2019",0.192622,0.188474,0.190548,0.0002185,,
"Dec 24, 2019",0.196885,0.189908,0.1933965,0.0028485,,
"Dec 23, 2019",0.198134,0.189891,0.1940125,0.000616,,
"Dec 22, 2019",0.19737,0.192513,0.1949415,0.000929,,
"Dec 21, 2019",0.196173,0.190614,0.1933935,-0.001548,,
"Dec 20, 2019",0.197967,0.186777,0.192372,-0.0010215,,
"Dec 19, 2019",0.197257,0.185322,0.1912895,-0.0010825,,
"Dec 18, 2019",0.197512,0.178485,0.1879985,-0.003291,,
"Dec 17, 2019",0.207659,0.180494,0.1940765,0.006078,,
"Dec 16, 2019",0.218908,0.206862,0.212885,0.0188085,,
"Dec 15, 2019",0.220074,0.211347,0.2157105,0.0028255,,
"Dec 14, 2019",0.221742,0.216795,0.2192685,0.003558,,
"Dec 13, 2019",0.221007,0.21693,0.2189685,-0.0003,,
"Dec 12, 2019",0.222692,0.218963,0.2208275,0.001859,,
"Dec 11, 2019",0.224742,0.22129,0.223016,0.0021885,,
"Dec 10, 2019",0.226251,0.221276,0.2237635,0.0007475,,
"Dec 09, 2019",0.231324,0.223183,0.2272535,0.00349,,
"Dec 08, 2019",0.233737,0.22626,0.2299985,0.002745,,
"Dec 07, 2019",0.228891,0.22539,0.2271405,-0.002858,,
"Dec 06, 2019",0.225858,0.220785,0.2233215,-0.003819,,
"Dec 05, 2019",0.226575,0.213965,0.22027,-0.0030515,,
"Dec 04, 2019",0.22177,0.212603,0.2171865,-0.0030835,,
"Dec 03, 2019",0.223179,0.216675,0.219927,0.0027405,,
"Dec 02, 2019",0.227203,0.217283,0.222243,0.002316,,
