Date,Day,High Temp,Low Temp ,Precipitation,Brooklyn,Manhattan,Williamsburg,Queensboro,Total
1/04/17,Saturday,46,37,0,606,1446,1915,1430,5397
2/04/17,Sunday,62.1,41,0,2021,3943,4207,2862,13033
3/04/17,Monday,63,50,0.03,2470,4988,5178,3689,16325
4/04/17,Tuesday,51.1,46,1.18,723,1913,2279,1666,6581
5/04/17,Wednesday,63,46,0,2807,5276,5711,4197,17991
6/04/17,Thursday,48.9,41,0.73,461,1324,1739,1372,4896
7/04/17,Friday,48,43,T,1222,2955,3399,2765,10341
8/04/17,Saturday,55.9,39.9,0,1674,3163,4082,2691,11610
9/04/17,Sunday,66,45,0,2375,4377,4886,3261,14899
10/04/17,Monday,73.9,55,0,3324,6359,6881,4731,21295
11/04/17,Tuesday,80.1,62.1,0,3887,7247,8079,5501,24714
12/04/17,Wednesday,73.9,57.9,0.02,2565,5633,6620,4537,19355
13/04/17,Thursday,64,48.9,0,3353,6052,6775,4700,20880
14/04/17,Friday,64.9,48.9,0,2942,5054,5877,4142,18015
15/04/17,Saturday,64.9,52,0,2253,3853,4965,3291,14362
16/04/17,Sunday,84.9,62.1,T,2877,4585,5259,3687,16408
17/04/17,Monday,73.9,64,T,3152,6352,6924,4658,21086
18/04/17,Tuesday,66,50,0,3415,6691,7341,5012,22459
19/04/17,Wednesday,52,45,T,1965,4632,5234,3996,15827
20/04/17,Thursday,64.9,50,0.17,1567,3365,4302,3056,12290
21/04/17,Friday,53.1,48,0.29,1426,3142,3674,2672,10914
22/04/17,Saturday,55.9,52,0.11,1318,2297,2963,2366,8944
23/04/17,Sunday,64.9,46.9,0,2520,4681,5105,3434,15740
24/04/17,Monday,60.1,50,T,2544,5366,5762,4183,17855
25/04/17,Tuesday,54,50,0.91,611,1402,1902,1578,5493
26/04/17,Wednesday,59,54,0.34,1247,2774,3429,2369,9819
27/04/17,Thursday,68,59,0,2959,5311,6026,4285,18581
28/04/17,Friday,82.9,57.9,0,3679,6774,7196,5138,22787
29/04/17,Saturday,84,64,0.06,3315,5605,6045,4078,19043
30/04/17,Sunday,64,54,0,2225,4057,4513,3137,13932
1/05/17,Monday,72,50,0,3084,6506,6793,4820,21203
2/05/17,Tuesday,73.9,66.9,0,3423,7035,7789,5449,23696
3/05/17,Wednesday,64.9,57.9,0,3342,6984,7445,4804,22575
4/05/17,Thursday,63,50,0,3019,6525,6922,5144,21610
5/05/17,Friday,59,52,3.02,513,1471,1951,1421,5356
6/05/17,Saturday,64.9,57,0.18,1892,3815,5502,3965,15174
7/05/17,Sunday,54,48.9,0.01,3539,3547,4941,3851,15878
8/05/17,Monday,57,45,0,2886,5812,6249,4432,19379
9/05/17,Tuesday,61,48,0,2718,6455,6910,5000,21083
10/05/17,Wednesday,70,51.1,0,2810,6396,7075,4980,21261
11/05/17,Thursday,61,51.8,0,2657,6179,6750,5139,20725
12/05/17,Friday,62.1,51.1,0,2640,5367,6325,4692,19024
13/05/17,Saturday,51.1,45,1.31,151,484,874,865,2374
14/05/17,Sunday,64.9,46,0.02,1452,2704,3320,2389,9865
15/05/17,Monday,66.9,55.9,0,2685,5865,5981,4550,19081
16/05/17,Tuesday,78.1,57.9,0,3666,7847,8420,6209,26142
17/05/17,Wednesday,90,66,0,3535,7888,8540,6121,26084
18/05/17,Thursday,91.9,75,0,3190,6886,7645,5753,23474
19/05/17,Friday,90,75.9,0,2952,6432,6859,5272,21515
20/05/17,Saturday,64,55.9,0.01,2161,3896,5198,3910,15165
21/05/17,Sunday,66.9,55,0,2612,4656,5634,3782,16684
22/05/17,Monday,61,54,0.59,768,1633,2116,1609,6126
23/05/17,Tuesday,68,57.9,0,3174,6715,7011,4899,21799
24/05/17,Wednesday,66.9,57,0.04,2969,6005,6872,4344,20190
25/05/17,Thursday,57.9,55.9,0.58,488,1196,1789,1316,4789
26/05/17,Friday,73,55.9,0.1,2590,4563,5344,3642,16139
27/05/17,Saturday,71.1,61,0,2609,4013,6105,3703,16430
28/05/17,Sunday,71.1,59,0,2640,4048,5456,3549,15693
29/05/17,Monday,57.9,55.9,0.13,836,1730,2738,1704,7008
30/05/17,Tuesday,59,55.9,0.06,2301,5366,5938,4431,18036
31/05/17,Wednesday,75,57.9,0.03,2689,5717,6523,4575,19504
1/06/17,Thursday,78.1,62.1,0,3468,7328,8461,6184,25441
2/06/17,Friday,73.9,60.1,0.01,3271,7007,7968,5293,23539
3/06/17,Saturday,72,55,0.01,2589,4510,6210,4084,17393
4/06/17,Sunday,68,60.1,0.09,1805,3127,4023,3023,11978
5/06/17,Monday,66.9,60.1,0.02,2171,4552,5276,3359,15358
6/06/17,Tuesday,55.9,53.1,0.06,1193,3021,3807,2572,10593
7/06/17,Wednesday,66.9,54,0,3211,7180,7632,5072,23095
8/06/17,Thursday,68,59,0,3253,7083,7778,5288,23402
9/06/17,Friday,80.1,59,0,3401,6859,7744,5155,23159
10/06/17,Saturday,84,68,0,3066,5193,6391,4425,19075
11/06/17,Sunday,90,73,0,2465,4388,5153,3178,15184
12/06/17,Monday,91.9,77,0,2854,6265,7049,5032,21200
13/06/17,Tuesday,93.9,78.1,T,2882,6141,7155,5399,21577
14/06/17,Wednesday,84,69.1,0.29,2596,5630,6619,5152,19997
15/06/17,Thursday,75,66,0,3510,7854,8652,6344,26360
16/06/17,Friday,68,66,0,2054,4857,5783,4474,17168
17/06/17,Saturday,73,66.9,1.39,1399,2633,3439,2977,10448
18/06/17,Sunday,84,72,T,2199,4014,4901,3396,14510
19/06/17,Monday,87.1,70,1.35,1648,3553,4334,3552,13087
20/06/17,Tuesday,82,72,0.03,3407,7473,7975,6091,24946
21/06/17,Wednesday,82,72,0,3304,7416,8754,6159,25633
22/06/17,Thursday,82,70,0,3368,7624,8307,6289,25588
