"","sex","ethnicity","weight","height","age"
"5","F","European",44.5,1.57,18
"10","F","European",95.5,1.66,40
"13","F","European",47,1.58,45
"20","F","European",66.6,1.59,39
"24","F","European",62.5,1.76,49
"26","F","European",66.2,1.67,37
"27","F","European",58.6,1.68,27
"33","F","European",60,1.7,42
"34","F","European",55.2,1.61,41
"36","F","European",60,1.64,54
"43","F","European",80.6,1.59,20
"50","F","European",72.6,1.63,27
"67","F","European",73.4,1.8,28
"72","F","European",79.8,1.77,37
"73","F","European",57,1.72,42
"76","F","European",54.8,1.57,31
"89","F","European",75,1.8,45
"95","F","European",60.8,1.62,25
"127","F","European",71,1.75,35
"140","F","European",62.8,1.63,32
"156","F","European",70,1.59,29
"157","F","European",50,1.55,33
"167","F","European",70,1.68,51
"179","F","European",68,1.58,41
"187","F","European",88,1.62,51
"190","F","European",64.2,1.63,48
"197","F","European",88.2,1.68,37
"200","F","European",70,1.63,44
"203","F","European",60,1.58,43
"205","F","European",55,1.56,27
"239","F","European",65,1.63,52
"241","F","European",93,1.72,34
"258","F","European",86.4,1.68,53
"259","F","European",65,1.7,21
"263","F","European",74,1.67,22
"267","F","European",78,1.72,54
"273","F","European",54.2,1.52,57
"276","F","European",59,1.65,27
"277","F","European",53.8,1.58,47
"285","F","European",70.6,1.7,26
"288","F","European",62.5,1.72,25
"291","F","European",73,1.71,31
"292","F","European",66.5,1.68,20
"293","F","European",61,1.67,37
"295","F","European",62,1.57,21
"299","F","European",60,1.79,22
"301","F","European",66,1.65,60
"305","F","European",69.5,1.56,23
"308","F","European",61.8,1.67,28
"313","F","European",66,1.66,48
"327","F","European",57,1.6,50
"336","F","European",74.2,1.57,34
"349","F","European",69.6,1.6,42
"350","F","European",70,1.63,33
"361","F","European",62.4,1.71,23
"362","F","European",50.5,1.58,21
"363","F","European",67,1.6,44
"367","F","European",63.4,1.76,21
"370","F","European",68.5,1.51,23
"375","F","European",66.2,1.76,26
"393","F","European",62.4,1.6,27
"400","F","European",75,1.67,24
"407","F","European",66,1.68,41
"414","F","European",61.8,1.7,38
"416","F","European",57,1.65,47
"418","F","European",57,1.66,39
"421","F","European",71,1.65,51
"426","F","European",77.6,1.7,32
"427","F","European",84.4,1.71,38
"428","F","European",70,1.63,25
"430","F","European",75,1.68,33
"432","F","European",63,1.65,54
"438","F","European",53,1.68,39
"439","F","European",61.5,1.55,30
"440","F","European",64,1.68,38
"456","F","European",57.2,1.65,51
"458","F","European",78,1.63,43
"459","F","European",62,1.73,24
"467","F","European",64.6,1.59,49
"476","F","European",75,1.7,52
"481","F","European",88,1.62,55
"484","F","European",70,1.72,52
"488","F","European",72,1.63,50
"489","F","European",64,1.74,44
"493","F","European",57,1.67,24
"494","F","European",98.4,1.66,31
"499","F","European",67.2,1.72,22
"503","F","European",58,1.72,33
"506","F","European",51.4,1.59,28
"507","F","European",51,1.65,51
"508","F","European",87.2,1.73,35
"518","F","European",76,1.63,21
"519","F","European",68.8,1.8,39
"529","F","European",78,1.7,58
"533","F","European",73,1.69,34
"537","F","European",58.2,1.57,24
"541","F","European",53,1.58,25
"547","F","European",54.4,1.66,32
"548","F","European",68.5,1.64,19
"552","F","European",77,1.75,39
"564","F","European",82,1.73,25
"574","F","European",98,1.68,46
"578","F","European",64.4,1.63,21
"606","F","European",50,1.56,45
"617","F","European",84,1.58,45
"619","F","European",64.8,1.63,36
"629","F","European",67,1.66,35
"630","F","European",58,1.62,24
"631","F","European",70,1.65,39
"645","F","European",62,1.59,45
"647","F","European",62.8,1.7,22
"650","F","European",66.7,1.59,57
"657","F","European",63,1.78,33
"658","F","European",55.2,1.66,31
"662","F","European",45.3,1.51,19
"664","F","European",56.6,1.61,22
"665","F","European",59.5,1.63,23
"666","F","European",67.5,1.59,50
"669","F","European",69,1.63,40
"670","F","European",54,1.59,53
"671","F","European",65,1.72,36
"673","F","European",56,1.61,45
"676","F","European",59.4,1.58,54
"693","F","European",65,1.73,36
"695","F","European",59.6,1.67,58
"712","F","European",52.8,1.49,45
"714","F","European",77.5,1.72,49
"715","F","European",69.8,1.6,25
"718","F","European",61,1.56,54
"720","F","European",66,1.67,34
"727","F","European",61,1.61,22
"730","F","European",61.4,1.59,20
"731","F","European",48.8,1.63,47
"735","F","European",60.2,1.71,19
"738","F","European",60.5,1.58,38
"743","F","European",81,1.64,49
"752","F","European",60.5,1.56,47
"755","F","European",79,1.74,53
"759","F","European",65,1.62,28
"764","F","European",54.5,1.61,41
"767","F","European",74.6,1.65,59
"776","F","European",68.2,1.63,41
"782","F","European",65,1.64,24
"783","F","European",73,1.68,21
"784","F","European",61,1.57,41
"785","F","European",72.8,1.63,40
"790","F","European",63,1.6,47
"792","F","European",101,1.62,45
"803","F","European",61.8,1.6,48
"805","F","European",58.8,1.73,24
"806","F","European",80,1.61,41
"815","F","European",75.8,1.7,23
"820","F","European",81,1.65,42
"827","F","European",57,1.61,40
"836","F","European",53.2,1.65,33
"837","F","European",98,1.73,51
"843","F","European",59.2,1.66,23
"861","F","European",63.6,1.66,22
"867","F","European",68.5,1.66,27
"868","F","European",57.9,1.59,24
"870","F","European",50,1.58,41
"872","F","European",57,1.63,38
"876","F","European",50,1.62,37
"877","F","European",50.9,1.61,24
"884","F","European",61,1.62,42
"889","F","European",64.4,1.76,30
"893","F","European",61,1.58,38
"894","F","European",77,1.53,41
"913","F","European",82.2,1.7,25
"927","F","European",54,1.63,48
"933","F","European",76.4,1.69,55
"937","F","European",88,1.68,43
"938","F","European",66.4,1.71,46
"941","F","European",73.4,1.62,40
"944","F","European",57,1.6,32
"946","F","European",63.5,1.69,59
"949","F","European",69,1.61,37
"953","F","European",81.2,1.67,25
"957","F","European",80,1.59,61
"964","F","European",78,1.66,37
"965","F","European",68,1.44,43
"969","F","European",60.6,1.48,42
"971","F","European",76.8,1.64,50
"974","F","European",60.6,1.52,39
"975","F","European",58.6,1.55,40
"983","F","European",57.6,1.57,48
"985","F","European",95,1.74,45
"995","F","European",66.4,1.71,38
"998","F","European",66.6,1.65,30
"1003","F","European",74.6,1.59,53
"1006","F","European",58.4,1.69,37
"1011","F","European",61.8,1.63,45
"1019","F","European",57.5,1.64,45
"1027","F","European",63.5,1.6,52
"1028","F","European",73.5,1.72,39
"1029","F","European",67,1.59,40
"1032","F","European",57.2,1.6,39
"1037","F","European",62,1.65,27
"1052","F","European",56.5,1.63,19
