counter,counter_edited
Archibald Park Cyclists,Archibald Park
Beach Road Cyclists,Beach Road
Carlton Gore Cycle Counter Cyclists,Carlton Gore
Curran St total,Curran Street 
Curran Street Total,Curran Street 
Curran Street Total Cyclists,Curran Street 
Dominion Road (near View Rd) Total Cyclists,Dominion Road
Dominion Road Total Cyclists,Dominion Road
East Coast Road Cyclists,East Coast Road
East_Coast_Road Cyclists,East Coast Road
GI TO TAMAKI DR SECTION-1 Cyclists,Glen Innes to Tamaki Drive Section-1
Glen Innes (Te Ara ki Uta ki Tai),Glen Innes (Te Ara ki Uta ki Tai)
Grafton Bridge Cyclists,Grafton Bridge 
Grafton Gully Cyclists,Grafton Gully
Grafton Road Cyclists,Grafton Road
Great North Rd,Great North Rd
Great North Rd Total,Great North Rd
Great North Road Cyclists,Great North Rd
Great South Road Total,Great South Road 
Great South Road Total Cyclists,Great South Road 
HighBrook Cyclists,HighBrook 
Hopetoun Street Cyclists,Hopetoun Street
Karangahape Road Cyclists,Karangahape Road
Lagoon Drive Cyclists,Lagoon Drive
Lagoon_Drive Cyclists,Lagoon Drive
Lake Road Total,Lake Road
Lake Road Total Cyclists,Lake Road
Mangere Bridge Cyclists,Mangere Bridge
Mangere Safe Routes Cyclists,Mangere Safe Route
Matakana Cyclists,Matakana
Nelson Street Cyclists,Nelson Street
Nelson Street Lightpath Counter Cyclists,Nelson Street Lightpath
NW Cycleway Kingsland Cyclists,NW Cycleway Kingsland
NW Cycleway TeAtatu Cyclists,NW Cycleway TeAtatu
Oceanview Rd Waiheke Cyclists,Oceanview Rd Waiheke
Orewa Path Cyclists,Orewa Path
Ormiston Rd Total Cyclists,Ormiston Rd 
Pukekohe - Queen St Cyclists,Pukekohe - Queen St
Quay St Spark Arena Total Cyclists,Quay St Spark Arena
Quay St Totem UZELT Cyclists,Quay St Totem 
Quay St Vector Arena,Quay St Spark Arena
Quay Street Spark Arena Total,Quay St Spark Arena
Quay Street Totem Cyclists,Quay St Totem 
Rankin Ave Cyclists,Rankin Ave 
Saint Lukes Rd Total,Saint Lukes Rd
SH20 Dominion Road Cyclists,SH20 Dominion Road
SH20A path (sth of Kirkbride Rd),SH20A path (sth of Kirkbride Rd)
SW Shared Path Cyclists,SW Shared Path
Symonds St Total,Symonds St
Symonds St Total Cyclists,Symonds St
Tamaki Dr total,Tamaki Drive
Tamaki Drive Total,Tamaki Drive
Tamaki Drive Total Cyclists,Tamaki Drive
TeAtatu Peninsula Pathway Cyclists,TeAtatu Peninsula Pathway
TeWero Bridge Bike Counter Cyclists,TeWero Bridge
Twin Streams Cyclists,Twin Streams
Upper Harbour  Cyclists,Upper Harbour
Upper Harbour New Cyclists,Upper Harbour
Upper Queen Street Cyclists,Upper Queen Street 
Vic St Wst total,Victoria Street West
Victoria Street West Total Cyclists,Victoria Street West
Waterview SP Unitec,Waterview Unitec
Waterview Unitec Counter Cyclists,Waterview Unitec
